Slave count,Framework,Results type,Results codec,Count total,Count mapped,Count passedQC,Count notDuplicate,rname histogram,mapq histogram,BED join,Count BED join,Max quality join,Count max quality join,mapq selection,Count mapq selection,length10 selection,Count length10 selection,length50 selection,Count length50 selection,Mean and stddev
1,hive,rcfile,gzip,2317.32,2338.317,2340.271,2316.265,2346.301,2346.315,8058.566,22.142,656.378,20.175,199.979,18.117,221.572,20.15,221.75,18.124,58.141
1,shark,rcfile,gzip,2489.171,2480.162,2473.764,2464.348,2473.289,2502.788,,,,,,,,,,,
1,hive,rcfile,snappy,,,,,,,7249.218,32.175,353.06,28.133,61.699,24.116,63.099,28.099,57.708,26.108,86.649
1,hive,rcfile,gzip,2147.348,2138.371,2156.294,2134.273,2150.278,2176.265,7962.227,22.116,638.779,18.116,201.555,18.124,222.07,20.141,223.837,20.125,57.576
1,shark,rcfile,gzip,2316.264,2321.503,2318.6,2322.951,2321.629,2338.94,,,,,,,,,,,
1,hive,rcfile,snappy,,,,,,,7258.821,32.181,344.335,26.116,57.873,24.125,58.949,26.124,60.64,24.107,88.491
1,hive,rcfile,gzip,2221.388,2224.309,2222.278,2220.266,2238.289,2242.289,7990.115,20.551,639.29,20.136,201.895,18.133,221.712,18.125,221.462,18.133,57.557
1,shark,rcfile,gzip,2376.288,2382.089,2380.497,2387.385,2400.097,2408.473,,,,,,,,,,,
1,hive,rcfile,snappy,,,,,,,7258.858,32.169,347.834,28.108,59.657,24.116,59.341,26.107,62.932,24.116,86.457
1,hive,rcfile,gzip,2365.416,2388.355,2370.277,2374.303,2392.29,2408.309,7935.589,26.13,631.018,18.124,201.412,18.108,223.323,18.125,223.241,18.116,57.558
1,shark,rcfile,gzip,2569.479,2570.125,2567.374,2569.335,2581.131,2576.765,,,,,,,,,,,
1,hive,rcfile,snappy,,,,,,,7294.449,30.171,332.051,42.107,59.321,24.116,57.424,26.116,59.107,24.116,88.49
1,hive,orc,snappy,2055.316,2058.313,2058.274,2062.269,2070.291,2076.252,7690.946,98.121,643.491,92.106,222.869,96.106,170.671,84.115,180.621,72.131,167.513
1,hive,orc,zlib,,,,,,,8102.361,60.191,1229.726,60.123,339.142,74.132,333.084,60.115,322.767,58.141,145.563
1,hive,orc,snappy,2289.412,2294.321,2328.307,2304.302,2306.301,2328.28,7630.686,128.129,691.505,112.122,226.677,92.114,200.761,90.114,198.828,88.131,177.613
1,hive,orc,zlib,,,,,,,7880.428,72.162,1208.399,68.123,340.849,76.122,338.79,78.123,337.29,62.124,155.605
1,hive,orc,snappy,2263.455,2276.348,2260.312,2260.287,2268.309,2294.333,7492.97,42.137,601.455,46.132,146.78,40.124,132.714,42.141,130.664,46.141,97.916
1,hive,orc,zlib,,,,,,,8002.401,36.186,1187.784,34.132,301.019,34.133,298.852,34.133,296.953,34.157,85.807
