Slave count,Framework,Results type,Results codec,Count total,Count mapped,Count passedQC,Count notDuplicate,rname histogram,mapq histogram,BED join,Count BED join,Max quality join,Count max quality join,mapq selection,Count mapq selection,length10 selection,Count length10 selection,length50 selection,Count length50 selection,Mean and stddev
1,hive,orc,zlib,3329.482,2980.369,2958.345,2860.336,2836.331,2952.323,7592.421,56.131,1279.1,54.139,326.866,54.114,325.185,48.122,317.559,50.122,117.512
1,hive,orc,zlib,3635.654,3066.397,3036.344,3046.344,3068.406,3164.332,7652.005,66.126,1218.099,54.139,325.641,60.148,320.691,52.124,333.64,58.124,144.397
1,hive,orc,zlib,3845.453,2780.396,2842.329,2878.365,2940.342,2898.344,7984.493,72.121,1172.191,48.13,327.825,68.13,329.624,58.114,319.025,68.121,145.543
1,hive,orc,zlib,3547.454,3234.42,3182.393,3144.36,3204.717,3352.377,7813.767,76.119,1218.237,58.14,339.775,84.139,354.474,68.132,328.542,70.106,149.613
2,hive,orc,zlib,1609.372,1560.273,1558.229,1536.251,1526.237,1510.237,2267.297,30.135,617.446,30.121,356.808,30.118,352.768,28.132,352.884,30.117,79.515
2,hive,orc,zlib,1445.44,1408.319,1398.248,1398.227,1416.274,1418.265,3650.775,34.132,627.701,32.141,369.801,30.125,364.983,30.126,362.893,32.124,81.74
2,hive,orc,zlib,1339.48,1320.278,1314.232,1304.257,1320.24,1318.232,3640.915,32.127,629.659,34.123,369.122,30.124,362.873,30.124,366.715,30.124,79.766
2,hive,orc,zlib,1351.497,1334.293,1336.239,1316.243,1348.239,1356.246,3644.714,32.134,649.555,34.132,367.234,32.133,364.843,32.124,362.801,32.124,79.707
4,hive,orc,zlib,1127.294,942.242,952.197,908.203,908.187,940.202,2006.335,34.132,353.307,36.115,196.686,28.107,190.629,32.09,196.645,28.116,67.474
4,hive,orc,zlib,1057.403,988.248,1010.22,972.214,1028.213,994.213,1882.629,22.128,325.425,22.115,190.803,22.132,184.753,20.116,184.704,22.124,59.749
4,hive,orc,zlib,927.412,884.246,908.203,912.215,926.216,898.241,1872.515,22.133,329.394,22.133,188.805,22.139,184.771,20.125,184.746,20.125,61.716
4,hive,orc,zlib,1159.29,954.265,878.201,856.212,914.211,908.178,2022.339,34.133,351.366,34.123,198.678,30.133,196.794,34.099,198.995,34.116,79.432
8,hive,orc,zlib,457.3,466.229,474.178,470.162,490.18,460.171,990.242,22.137,219.37,22.149,186.612,20.116,185.578,20.116,217.748,20.091,57.5
8,hive,orc,zlib,711.243,654.207,626.199,610.167,560.178,586.181,1114.269,24.101,235.309,22.115,182.68,20.108,182.704,20.117,180.663,20.117,59.499
8,hive,orc,zlib,1109.266,832.233,806.187,814.179,826.197,838.195,1548.243,78.115,397.349,88.122,272.801,76.114,212.795,46.107,220.936,30.107,171.468
8,hive,orc,zlib,547.213,554.201,524.186,542.185,544.169,520.179,994.242,22.123,219.378,22.107,186.617,20.124,182.647,20.116,182.605,20.108,57.474
16,hive,orc,zlib,491.223,404.225,372.175,340.168,340.178,352.177,736.373,20.123,169.324,20.132,142.009,18.124,142.73,18.108,138.689,18.117,51.516
16,hive,orc,zlib,505.184,414.23,382.173,358.174,348.176,358.166,726.355,26.115,203.37,30.106,156.896,24.124,159.047,18.114,154.905,24.116,51.541
16,hive,orc,zlib,449.218,382.223,358.182,330.158,334.178,336.167,684.207,20.129,167.34,18.115,140.714,18.116,138.665,18.149,144.055,18.108,53.541
16,hive,orc,zlib,485.26,400.224,374.158,358.142,358.169,372.177,750.222,18.124,169.281,20.107,138.672,20.1,178.705,20.116,180.646,18.117,55.503
31,hive,orc,zlib,265.247,302.192,276.17,260.158,310.155,306.178,558.202,18.104,143.609,18.105,142.585,22.099,228.672,22.124,240.596,22.116,61.532
31,hive,orc,zlib,179.273,294.184,190.153,200.153,196.139,208.147,531.81,18.085,179.784,42.121,200.478,22.116,169.17,30.108,177.895,32.116,81.523
31,hive,orc,zlib,273.234,292.2,280.167,270.151,256.164,312.167,617.067,18.104,147.207,18.106,164.695,22.153,226.024,22.108,237.044,22.116,61.466
