Slave count,Framework,Results type,Results codec,Count total,Count mapped,Count passedQC,Count notDuplicate,rname histogram,mapq histogram,BED join,Count BED join,Max quality join,Count max quality join,mapq selection,Count mapq selection,length10 selection,Count length10 selection,length50 selection,Count length50 selection,Mean and stddev
1,impala,parquet,snappy,50.37,52.91,14.30,11.28,53.08,28.47,,,,,,,,,,,
1,impala,parquet,snappy,46.87,52.91,11.79,11.29,55.59,27.97,,,,,,,,,,,
1,impala,parquet,snappy,46.91,50.39,11.79,11.29,52.07,27.97,,,,,,,,,,,
1,impala,parquet,snappy,39.38,44.38,11.79,11.29,52.08,27.96,,,,,,,,,,,
2,impala,parquet,snappy,17.07,18.82,6.95,7.26,22.98,14.93,1748.93,0.61,137.90,1.30,101.53,0.70,124.67,0.67,85.17,0.77,2.10
2,impala,parquet,snappy,15.11,18.32,7.36,7.35,21.49,14.93,1731.90,1.23,126.66,0.76,100.11,0.65,87.09,0.68,87.44,0.87,1.60
2,impala,parquet,snappy,11.41,16.31,7.47,7.36,20.48,14.96,1711.47,0.88,139.84,0.86,116.11,0.86,102.85,1.16,111.40,0.86,1.61
2,impala,parquet,snappy,14.10,18.32,7.36,7.25,21.99,14.96,1745.33,0.73,120.00,0.74,93.54,0.69,100.95,0.63,91.02,0.74,2.17
4,impala,parquet,snappy,19.06,18.31,4.44,4.33,10.95,8.20,1365.80,0.63,66.14,0.64,46.17,0.59,48.99,0.60,47.50,0.60,0.99
4,impala,parquet,snappy,24.03,20.83,4.34,4.23,11.47,8.71,1456.79,0.79,87.97,2.47,108.09,0.96,57.69,1.08,49.99,0.86,1.13
4,impala,parquet,snappy,21.97,19.33,4.44,4.23,11.47,8.20,1475.91,0.65,66.57,0.63,51.05,0.65,48.82,0.66,56.21,0.62,1.10
4,impala,parquet,snappy,23.56,19.32,4.24,4.53,10.96,8.30,1303.91,0.62,65.14,0.63,46.58,0.60,46.52,0.68,49.57,0.56,0.94
8,impala,parquet,snappy,11.08,8.89,2.12,2.31,5.82,4.47,752.10,1.12,36.99,0.65,26.11,0.62,25.64,0.69,26.55,0.62,0.78
8,impala,parquet,snappy,11.91,9.39,2.41,2.41,5.82,4.46,693.95,0.82,52.51,0.62,31.87,0.64,33.26,1.02,32.49,0.61,0.75
8,impala,parquet,snappy,11.74,9.39,2.11,2.10,5.82,4.77,810.97,0.63,45.10,0.65,35.49,0.64,32.84,0.57,27.56,0.56,0.77
8,impala,parquet,snappy,12.65,11.33,2.33,2.21,5.82,4.87,874.42,0.61,37.72,0.64,26.04,0.90,25.19,2.38,26.81,0.51,0.74
15,impala,parquet,snappy,6.93,4.86,1.41,1.30,3.40,2.76,382.17,0.68,22.62,0.65,19.97,1.98,15.61,0.64,17.08,0.62,0.69
15,impala,parquet,snappy,7.51,5.27,1.41,1.40,3.40,2.86,417.35,0.67,22.51,0.66,15.98,0.66,15.81,0.65,15.63,0.62,0.67
15,impala,parquet,snappy,7.58,4.85,1.40,1.41,3.40,2.75,374.82,0.65,23.14,0.66,17.75,0.81,15.19,0.60,20.33,0.55,0.71
15,impala,parquet,snappy,6.43,4.56,1.41,1.30,3.40,2.85,371.32,0.63,22.39,0.65,18.66,0.66,15.13,0.60,18.20,1.17,0.67
31,impala,parquet,snappy,3.82,1.92,0.90,1.00,1.99,1.65,146.00,0.68,52.37,0.64,9.96,0.62,9.68,0.61,10.09,0.81,0.55
31,impala,parquet,snappy,3.70,1.64,0.90,0.80,1.99,1.66,151.66,0.66,52.89,0.66,10.62,0.61,9.88,0.63,11.25,0.62,0.54
31,impala,parquet,snappy,3.90,1.97,0.90,0.90,1.99,1.65,153.13,0.67,52.18,0.69,9.90,0.62,9.87,0.61,10.99,0.60,0.54
