Slave count,Framework,Results type,Results codec,Count total,Count mapped,Count passedQC,Count notDuplicate,rname histogram,mapq histogram,BED join,Count BED join,Max quality join,Count max quality join,mapq selection,Count mapq selection,length10 selection,Count length10 selection,length50 selection,Count length50 selection,Mean and stddev
1,hive,rcfile,gzip,1603.052,1676.288,1676.273,1680.249,1666.248,1766.274,6597.689,20.117,637.4,24.117,198.878,18.108,220.845,18.108,220.786,18.124,56.558
1,shark,rcfile,gzip,2108.172,2088.286,2091.987,2096.061,2104.607,2094.82,,,,,,,,,,,
1,impala,parquet,snappy,1397.96,1387.09,1388.11,1382.09,1359.20,1372.20,,,,,,,,,,,
1,hive,rcfile,snappy,,,,,,,6341.213,84.201,1011.545,60.16,90.727,28.241,80.714,36.124,80.664,30.115,88.489
1,hive,rcfile,gzip,1677.353,1736.266,1744.247,1734.26,1732.233,1828.265,6692.293,24.12,633.542,18.116,201.003,20.108,223.028,18.125,222.786,18.116,55.515
1,shark,rcfile,gzip,2101.57,2082.689,2087.484,2090.805,2094.799,2088.934,,,,,,,,,,,
1,impala,parquet,snappy,1470.06,1467.22,1464.14,1469.24,1435.32,1442.26,,,,,,,,,,,
1,hive,rcfile,snappy,,,,,,,6810.44,68.19,821.571,48.14,82.715,28.116,78.748,32.135,90.612,42.149,88.481
1,hive,rcfile,gzip,1823.143,1914.322,1906.291,1906.289,1888.282,1992.264,6779.57,20.121,645.312,18.116,200.662,18.117,220.72,18.1,220.72,18.117,56.874
1,shark,rcfile,gzip,2335.974,2326.089,2330.756,2318.045,2317.039,2316.157,,,,,,,,,,,
1,impala,parquet,snappy,1629.41,1628.60,1629.47,1622.50,1587.58,1599.63,,,,,,,,,,,
1,hive,rcfile,snappy,,,,,,,6667.949,82.171,745.633,60.123,90.648,30.125,82.707,34.141,90.682,36.132,90.481
1,hive,rcfile,gzip,2071.378,2098.319,2102.253,2088.29,2082.287,2178.296,6672.679,22.118,631.312,18.125,200.696,18.141,220.719,18.108,220.688,18.099,55.65
1,shark,rcfile,gzip,2640.533,2644.009,2651.128,2642.158,2640.894,2662.573,2682.115,,,,,,,,,,
1,impala,parquet,snappy,1692.34,1673.54,1676.48,1682.57,1636.68,1648.66,,,,,,,,,,,
1,hive,rcfile,snappy,,,,,,,6680.668,62.184,851.565,44.115,80.707,28.125,98.699,28.133,84.74,32.103,90.498
1,shark,rcfile,gzip,,,,,,,2099.868,,,,,,,,,,
1,shark,rcfile,gzip,,,,,,,2503.505,,,,,,,,,,
1,shark,rcfile,gzip,,,,,,,2364.622,,,,,,,,,,
2,hive,rcfile,gzip,973.299,1020.248,1026.188,1026.206,1020.206,1068.214,3356.478,28.131,395.363,14.124,102.67,14.099,120.803,14.108,124.702,14.124,43.516
2,shark,rcfile,gzip,1344.66,1340.237,1341.523,1333.674,1357.108,1358.365,1320.508,,,,,,,,,,
2,impala,parquet,snappy,969.14,960.26,963.25,958.16,948.36,947.26,1406.06,0.83,110.89,1.12,123.58,0.78,108.41,0.92,106.13,0.98,3.39
2,hive,rcfile,snappy,,,,,,,3187.92,56.203,329.432,32.114,52.656,24.14,60.591,24.124,62.63,22.124,55.474
2,hive,rcfile,gzip,837.395,898.245,898.224,898.202,896.211,948.208,3336.586,16.132,395.365,16.15,102.705,14.116,122.689,14.133,122.697,14.125,45.833
2,shark,rcfile,gzip,1129.639,1146.378,1139.786,1141.764,1147.703,1149.661,1163.782,,,,,,,,,,
2,impala,parquet,snappy,858.97,855.03,884.08,855.05,827.13,823.08,1346.97,0.84,113.32,0.94,94.48,0.72,106.35,0.63,103.07,0.68,1.64
2,hive,rcfile,snappy,,,,,,,3288.048,50.192,391.549,36.124,54.645,20.137,80.623,20.158,50.666,22.124,57.741
2,hive,rcfile,gzip,829.474,882.227,876.191,882.211,876.211,922.219,3266.71,16.123,389.44,14.133,102.74,14.116,122.714,14.133,122.655,14.116,45.757
2,shark,rcfile,gzip,1109.365,1129.704,1123.537,1125.247,1131.288,1141.479,1147.001,,,,,,,,,,
2,impala,parquet,snappy,850.00,837.03,843.02,849.05,817.23,815.14,1350.74,0.68,105.46,0.82,89.62,0.94,93.05,0.81,97.55,0.70,1.43
2,hive,rcfile,snappy,,,,,,,3016.103,36.195,249.514,26.132,48.666,20.133,44.699,22.132,44.767,20.125,55.741
2,hive,rcfile,gzip,849.405,898.229,904.212,900.221,904.221,944.22,3316.805,16.132,397.407,14.116,102.706,14.133,122.989,14.125,124.938,14.124,45.808
2,shark,rcfile,gzip,1149.416,1170.622,1178.605,1179.767,1187.139,1187.139,1213.467,,,,,,,,,,
2,hive,rcfile,snappy,,,,,,,3056.201,28.201,261.561,22.125,44.699,20.124,50.699,22.133,44.699,22.133,53.708
2,impala,parquet,snappy,1031.53,1046.34,1046.38,1055.42,1023.68,1013.39,1414.85,3.25,154.23,0.85,106.85,1.08,92.47,0.77,90.30,0.91,1.63
4,hive,rcfile,gzip,601.236,640.229,632.163,630.179,626.196,658.197,1774.469,14.124,225.249,14.116,110.715,12.092,122.774,12.1,123.348,14.116,41.5
4,shark,rcfile,gzip,552.909,581.855,575.881,577.964,596.539,591.43,662.991,,,,,,,,,,
4,hive,rcfile,snappy,,,,,,,1609.847,24.181,123.457,16.124,24.801,14.108,26.758,16.133,26.8,16.122,47.578
4,hive,rcfile,gzip,681.312,696.225,706.21,730.216,736.184,748.178,1772.288,14.135,219.325,14.116,110.706,12.125,122.671,12.117,124.664,12.116,39.542
4,shark,rcfile,gzip,599.587,646.446,641.396,640.404,658.205,658.362,726.812,,,,,,,,,,
