Slave count,Framework,Results type,Results codec,Count total,Count mapped,Count passedQC,Count notDuplicate,rname histogram,mapq histogram,BED join,Count BED join,Max quality join,Count max quality join,mapq selection,Count mapq selection,length10 selection,Count length10 selection,length50 selection,Count length50 selection,Mean and stddev
1,hive,rcfile,gzip,3325.527,3414.485,3412.357,3438.357,3378.35,3604.379,6811.163,22.134,733.651,20.133,200.98,18.116,223.02,20.141,250.869,18.133,57.834
1,shark,rcfile,gzip,4072.129,4075.308,4088.106,4094.246,4083.926,4099.81,4241.774,,,,,,,,,,
1,impala,parquet,snappy,3060.98,3059.34,3072.45,3080.38,3004.41,3008.35,2973.32,,,,,,,,,,
1,hive,rcfile,snappy,,,,,,,6190.343,46.201,381.534,40.124,58.732,26.139,56.629,26.125,56.674,28.124,90.498
1,hive,rcfile,gzip,3467.715,3538.439,3592.446,3536.354,3504.397,3698.384,7160.021,22.122,637.446,18.116,200.679,18.133,220.728,18.131,220.729,18.125,62.009
1,shark,rcfile,gzip,4208.695,4188.9,4174.924,4165.866,4172.907,4182.876,,,,,,,,,,,
1,impala,parquet,snappy,3096.88,3102.39,3101.45,3103.42,3024.45,3024.38,3010.96,,,,,,,,,,
1,hive,rcfile,snappy,,,,,,,6599.246,92.186,489.599,68.131,60.74,26.133,60.683,28.116,58.707,24.116,88.492
1,hive,rcfile,gzip,3211.442,3258.42,3268.384,3264.344,3222.346,3414.366,6999.748,20.117,631.525,18.124,198.796,18.108,220.703,18.116,220.661,18.125,58.608
1,shark,rcfile,gzip,4026.305,4015.733,4047.219,4023.05,4019.406,4018.125,,,,,,,,,,,
1,impala,parquet,snappy,2827.38,2820.78,2823.89,2826.80,2771.93,2776.31,2691.48,,,,,,,,,,
1,hive,rcfile,snappy,,,,,,,6460.068,76.219,403.59,78.155,60.733,24.141,60.69,26.125,58.698,28.132,86.515
1,hive,rcfile,gzip,3193.548,3260.482,3260.405,3266.366,3238.373,3430.378,6856.889,20.122,675.446,18.116,198.687,18.116,218.703,18.117,218.744,18.125,53.592
1,shark,rcfile,gzip,3976.14,3974.587,3964.017,3971.668,3983.635,3987.103,,,,,,,,,,,
1,impala,parquet,snappy,2879.50,2881.93,2892.98,2888.97,2831.01,2833.99,2771.93,,,,,,,,,,
1,hive,rcfile,snappy,,,,,,,6580.048,86.19,457.555,76.131,68.708,34.107,62.723,24.124,62.715,28.116,88.474
1,shark,rcfile,gzip,,,,,,,4619.301,,,,,,,,,,
1,shark,rcfile,gzip,,,,,,,4222.681,,,,,,,,,,
1,shark,rcfile,gzip,,,,,,,4369.221,,,,,,,,,,
2,hive,rcfile,gzip,1771.459,1804.299,1810.273,1804.239,1796.259,1894.278,3424.549,16.123,389.399,14.124,102.639,14.141,122.647,14.117,122.705,14.141,45.808
2,shark,rcfile,gzip,2432.08,2442.892,2430.146,2460.108,2463.368,2481.15,2438.54,,,,,,,,,,
2,impala,parquet,snappy,1827.72,1835.99,1851.04,1863.04,1784.07,1772.02,1706.72,,,,,,,,,,
2,hive,rcfile,snappy,,,,,,,3106.13,22.192,223.579,32.132,38.624,20.153,42.687,20.133,42.682,20.124,55.752
2,hive,rcfile,gzip,1861.548,1922.329,1918.277,1922.27,1898.266,1986.295,3478.941,16.126,393.441,14.124,102.79,14.133,122.705,14.126,122.747,14.574,45.775
2,shark,rcfile,gzip,2571.564,2569.123,2574.775,2560.395,2584.058,2594.207,2562.509,,,,,,,,,,
2,impala,parquet,snappy,2030.12,2007.33,2008.31,2011.29,1906.32,1901.24,1762.65,,,,,,,,,,
2,hive,rcfile,snappy,,,,,,,3146.359,30.181,213.561,34.115,40.691,18.117,40.794,20.133,42.732,20.124,53.809
2,hive,rcfile,gzip,2067.437,2074.353,2080.27,2066.277,2080.262,2118.27,2850.452,14.124,359.352,12.136,98.637,12.108,118.606,12.117,118.631,12.116,45.533
2,shark,rcfile,gzip,2381.524,2381.635,2379.189,2378.512,2393.355,2403.54,2356.529,,,,,,,,,,
2,impala,parquet,snappy,1798.60,1800.89,1797.89,1823.93,1786.07,1767.94,1685.76,,,,,,,,,,
2,hive,rcfile,snappy,,,,,,,2658.01,16.184,171.963,14.108,25.125,16.141,44.744,14.121,50.724,14.116,45.483
2,hive,rcfile,gzip,1825.593,1876.32,1882.292,1880.254,1860.284,1946.312,3458.602,16.145,401.451,14.116,102.707,14.125,122.672,14.139,122.666,14.125,45.81
2,shark,rcfile,gzip,2532.404,2529.528,2521.68,2525.558,2542.695,2617.036,2507.957,,,,,,,,,,
2,impala,parquet,snappy,1837.70,1844.04,1862.01,1845.01,1810.15,1804.10,1706.28,,,,,,,,,,
2,hive,rcfile,snappy,,,,,,,3126.162,28.176,221.511,30.141,42.675,20.132,42.682,22.15,40.691,20.141,55.68
4,hive,rcfile,gzip,1287.343,1298.275,1296.232,1318.215,1294.22,1326.225,1886.251,32.117,231.437,12.107,110.798,12.133,122.706,12.099,122.79,12.117,41.526
4,shark,rcfile,gzip,1229.943,1224.017,1230.442,1239.193,1249.909,1265.283,1268.733,,,,,,,,,,
4,impala,parquet,snappy,2114.16,2609.81,1826.04,2850.07,1449.71,1434.33,1331.51,,,,,,,,,,
4,hive,rcfile,snappy,,,,,,,1696.096,16.192,124.062,14.116,24.866,14.116,24.708,16.142,25.074,14.108,45.759
4,hive,rcfile,gzip,1363.32,1386.278,1376.211,1404.218,1388.206,1428.236,2156.913,12.124,230.617,12.127,117.647,12.125,125.247,14.125,125.697,14.125,43.518
4,shark,rcfile,gzip,1342.048,1352.053,1353.836,1368.552,1365.261,1369.06,1369.681,,,,,,,,,,
4,impala,parquet,snappy,2820.64,3171.64,2963.29,2475.32,1520.68,1542.63,1449.77,,,,,,,,,,
4,hive,rcfile,snappy,,,,,,,1834.821,20.215,126.089,16.124,35.011,14.122,38.983,16.127,33.134,18.141,47.766
